Date,Close,High,Low,Open,Volume
,BBCA.JK,BBCA.JK,BBCA.JK,BBCA.JK,BBCA.JK
2016-07-12,2300.530517578125,2321.4444313742897,2267.0682555042613,2275.4338210227274,190642000
2016-07-13,2308.895751953125,2313.0785341124606,2300.5301876344543,2308.895751953125,138530500
2016-07-14,2317.261962890625,2333.9930961966943,2313.0791795641076,2325.62752954366,148394000
2016-07-15,2342.358154296875,2346.5409367152624,2313.0786773681643,2313.0786773681643,195893000
2016-07-18,2333.992919921875,2342.3584859431003,2313.0790048688114,2325.6273539006497,116023000
2016-07-19,2392.55126953125,2396.73405147099,2342.3578862543704,2342.3578862543704,195665500
2016-07-20,2417.648193359375,2421.8309757008274,2396.734281652114,2400.917063993566,142149000
2016-07-21,2434.37890625,2455.2928143792956,2426.013342998282,2430.196124624141,202871500
2016-07-22,2430.1962890625,2442.744634789157,2384.1856880647592,2426.0135071536147,111507000
2016-07-25,2426.014404296875,2438.562754663928,2405.100487018454,2430.1971877525593,111434500
2016-07-26,2400.9169921875,2430.196467701982,2375.8202988893727,2430.196467701982,138118000
2016-07-27,2434.37890625,2451.1100327534364,2409.282216494845,2413.4649981207044,208198500
2016-07-28,2413.465087890625,2426.0134332349435,2392.5511789834272,2426.0134332349435,94670000
2016-07-29,2417.648193359375,2446.92766974954,2417.648193359375,2426.0137580422793,115674000
2016-08-01,2488.755615234375,2505.4867454208243,2405.099964302127,2405.099964302127,221091000
2016-08-02,2509.66943359375,2509.66943359375,2480.3899568684897,2488.7555216471355,158875000
2016-08-03,2505.486572265625,2518.034919038241,2497.1210077505475,2509.6693545231637,115363500
2016-08-04,2509.66943359375,2522.2177807617186,2505.486651204427,2509.66943359375,131859500
2016-08-05,2526.400390625,2551.4970832471026,2509.669262210265,2518.0348264176323,175943500
2016-08-08,2526.400390625,2559.8626474544703,2505.486480106581,2534.7659548323677,79174000
2016-08-09,2509.66943359375,2526.4005631510418,2501.303868815104,2526.4005631510418,96702000
2016-08-10,2501.3037109375,2509.669275188127,2484.5725824362457,2509.669275188127,64883500
2016-08-11,2501.3037109375,2526.400403689381,2492.9381466868726,2526.400403689381,107876500
2016-08-12,2509.66943359375,2547.314475097656,2501.303868815104,2513.8522159830727,131484500
2016-08-15,2518.03515625,2547.3146348110463,2509.669590946844,2534.7662868563125,104034500
2016-08-16,2530.583740234375,2543.132089359504,2526.4009571926654,2543.132089359504,60200500
2016-08-18,2543.1318359375,2559.8629664370887,2530.5834880628086,2530.5834880628086,186254500
2016-08-19,2559.86279296875,2584.9594870174633,2551.4972282858457,2576.593922334559,169403500
2016-08-22,2559.86279296875,2576.593922334559,2555.6800106272976,2576.593922334559,110468500
2016-08-23,2555.680419921875,2593.325467023834,2526.400938842574,2593.325467023834,76704500
2016-08-24,2559.86279296875,2568.2283576516543,2555.6800106272976,2559.86279296875,111416000
2016-08-25,2551.497802734375,2568.2289358670596,2505.4871866194926,2568.2289358670596,71705000
2016-08-26,2543.1318359375,2551.497401187294,2534.7662706877054,2551.497401187294,48785500
2016-08-29,2513.8525390625,2547.3148024776415,2501.304190281822,2547.3148024776415,40904000
2016-08-30,2509.66943359375,2513.8522159830727,2501.303868815104,2513.8522159830727,70749500
2016-08-31,2518.03515625,2538.9490695078903,2484.5728950373755,2484.5728950373755,169155000
2016-09-01,2509.66943359375,2522.2177807617186,2484.5727392578124,2484.5727392578124,56229500
2016-09-02,2509.66943359375,2559.862822265625,2505.486651204427,2518.034998372396,63478000
2016-09-05,2509.66943359375,2555.680039876302,2505.486651204427,2555.680039876302,74444000
2016-09-06,2513.8525390625,2526.4008878431778,2501.304190281822,2518.0353219893927,70876500
2016-09-07,2543.1318359375,2559.8629664370887,2526.4007054379113,2559.8629664370887,137103000
